"crash_unit_id","crash_record_id","crash_date","unit_no","unit_type","num_passengers","vehicle_id","cmrc_veh_i","make","model","lic_plate_state","vehicle_year","vehicle_defect","vehicle_type","vehicle_use","travel_direction","maneuver","towed_i","fire_i","occupant_cnt","exceed_speed_limit_i","towed_by","towed_to","area_00_i","area_01_i","area_02_i","area_03_i","area_04_i","area_05_i","area_06_i","area_07_i","area_08_i","area_09_i","area_10_i","area_11_i","area_12_i","area_99_i","first_contact_point","cmv_id","usdot_no","ccmc_no","ilcc_no","commercial_src","gvwr","carrier_name","carrier_state","carrier_city","hazmat_placards_i","hazmat_name","un_no","hazmat_present_i","hazmat_report_i","hazmat_report_no","mcs_report_i","mcs_report_no","hazmat_vio_cause_crash_i","mcs_vio_cause_crash_i","idot_permit_no","wide_load_i","trailer1_width","trailer2_width","trailer1_length","trailer2_length","total_vehicle_length","axle_cnt","vehicle_config","cargo_body_type","load_type","hazmat_out_of_service_i","mcs_out_of_service_i","hazmat_class"
"2322519","435043b3192b9c0b69eb1c6cc0f856e74d5aab769746c1a1e6802f3cec7d9efa4af3c712d93fcbb7adfc250ad248a9ba40e5e6d756104cf8b32d67ccbba9c849","2026-06-09T02:34:00.000","1","DRIVER",,"2215120",,"CHEVROLET","IMPALA","IL","2008","UNKNOWN","PASSENGER","PERSONAL","S","STRAIGHT AHEAD","Y",,"1",,,,,"Y",,,,"Y",,,,,,"Y","Y",,"FRONT-RIGHT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2322520","435043b3192b9c0b69eb1c6cc0f856e74d5aab769746c1a1e6802f3cec7d9efa4af3c712d93fcbb7adfc250ad248a9ba40e5e6d756104cf8b32d67ccbba9c849","2026-06-09T02:34:00.000","2","DRIVER","1","2215122",,"MAZDA","CX-5","IN","2018","NONE","SPORT UTILITY VEHICLE (SUV)","PERSONAL","E","STRAIGHT AHEAD","Y",,"2",,,,,"Y",,,,"Y",,,,,,"Y","Y",,"FRONT-LEFT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2322507","fe1c7a79eab83a76e37fb858d57715d0fff5a96f11663b77ce07fb997327e33421ac51e1fbf25371dd2db96a0714266be8cc217adba0d6df1f240a2f7f02ccd9","2026-06-09T00:31:00.000","1","DRIVER","3","2215107",,"CHEVROLET","EQUINOX","IL","2016","NONE","SPORT UTILITY VEHICLE (SUV)","PERSONAL","E","SKIDDING/CONTROL LOSS","Y",,"4",,,,,,,,,,,"Y","Y","Y","Y","Y","N",,"SIDE-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2322508","fe1c7a79eab83a76e37fb858d57715d0fff5a96f11663b77ce07fb997327e33421ac51e1fbf25371dd2db96a0714266be8cc217adba0d6df1f240a2f7f02ccd9","2026-06-09T00:31:00.000","2","DRIVER",,"2215109",,"BUICK","ENCORE","IL","2024","NONE","SPORT UTILITY VEHICLE (SUV)","PERSONAL","W","STRAIGHT AHEAD","Y",,"1",,,,,"Y",,,,,,,,,,"Y","Y",,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2322506","ce927aac11ea2e98f2346c1c32c2dfa92b8850b863964833a35eb56ee4c02287863d3de13b25ca88d51c1929b9afee670702c80224d940a422ad243b754b23be","2026-06-09T00:26:00.000","1","DRIVER",,"2215106",,"CADILLAC","XT5","IL","2017","UNKNOWN","SPORT UTILITY VEHICLE (SUV)","PERSONAL","S","UNKNOWN/NA","Y",,"1",,"AAA Roadside Service","Unknown",,"Y",,,,,,,,,,"Y","Y",,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2322496","0883c29fb0bfd6217525f45fb84865c78cae5c91d07ab3b7f3b81c4ba61b9d3c4528ff4ea868d4ed4ac595041f51b2e9647c51bb3d560039e3bdd22181d08c9f","2026-06-09T00:22:00.000","1","DRIVER",,"2215099",,"KIA","SPORTAGE","XX",,"UNKNOWN","PASSENGER","UNKNOWN/NA","S","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,,"Y",,,"FRONT-LEFT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2322497","0883c29fb0bfd6217525f45fb84865c78cae5c91d07ab3b7f3b81c4ba61b9d3c4528ff4ea868d4ed4ac595041f51b2e9647c51bb3d560039e3bdd22181d08c9f","2026-06-09T00:22:00.000","2","DRIVER",,"2215100",,"FORD","ESCAPE","IL","2015","NONE","PASSENGER","UNKNOWN/NA","S","STRAIGHT AHEAD",,,"1",,,,,"N","Y","Y",,,,,,,,,,,"SIDE-RIGHT-FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2322511","befa5ff44196353d6eea5d57e76f292b6664c9457d3d422d6bcdb087bb7d67895a49b789e1c8987e37d2fe76bc36ef49172f227a99be7dcf7be4ac4f29a96f31","2026-06-09T00:10:00.000","1","DRIVER",,"2215112",,"NISSAN","VERSA","MN","2026","UNKNOWN","PASSENGER","PERSONAL","S","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,,,"Y",,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2322513","befa5ff44196353d6eea5d57e76f292b6664c9457d3d422d6bcdb087bb7d67895a49b789e1c8987e37d2fe76bc36ef49172f227a99be7dcf7be4ac4f29a96f31","2026-06-09T00:10:00.000","2","DRIVER","1","2215114",,"VOLKSWAGEN","JETTA","IL","2017","UNKNOWN","PASSENGER","PERSONAL","N","TURNING LEFT","Y",,"2",,"SELF TOWED",,,,,"Y",,,,,,,,,,,"SIDE-RIGHT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2322487","9e28b64af61c41f7db12f2bd01305fb6c48b0883eee80cff3ff3b61a4c93125adf2d8051bb74414481745cecaceac665637489f628e528ce1179200eb43a4709","2026-06-08T23:40:00.000","1","DRIVER",,"2215086",,"NISSAN","ROGUE","IL","2015","UNKNOWN","SPORT UTILITY VEHICLE (SUV)","UNKNOWN/NA","N","PASSING/OVERTAKING",,,"1",,,,,"Y","Y",,,,,,,,,,,,"FRONT-RIGHT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
