crash_record_id,weather_condition,lighting_condition,roadway_surface_cond,prim_contributory_cause,total_vehicles,avg_driver_age,total_people,total_injured
000013b0123279411e0ec856dae95ab9f0851764350b7feaeb982c7707c6722066910e9391e60f45cec4b7a7a6643eeedb5de39e7245b03447a44c793680dc4b,CLEAR,DAYLIGHT,DRY,IMPROPER OVERTAKING/PASSING,2.0,51.0,1.0,1.0
00002c0771fb6f2c70ba775b7f6b501608cadea85c1dd1343228a53acd61a83b0e2b003ace79defc01b0f829fc47b9462027509b5e0ec1eaf3a5f2248121f379,CLEAR,DAWN,DRY,IMPROPER LANE USAGE,2.0,35.0,2.0,2.0
000070ed7a6357c3298f5edc6fb7d5ce925a10f46660f37f6c9b02e2a430d38ec739d2a5f45432979a01920c84f4700f6d4d63103a7878169bc1946367e8ee0a,CLEAR,"DARKNESS, LIGHTED ROAD",DRY,FAILING TO YIELD RIGHT-OF-WAY,2.0,47.5,2.0,2.0
0000b8e88de2441e6d530c9ee6a75c216a64ad07caa9051625935930f1e3fef45d0afb17d15a17e899bc70923dccef3d4fc0c045ed93ee6f0e209704be8bf54e,CLEAR,"DARKNESS, LIGHTED ROAD",DRY,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,2.0,43.0,2.0,2.0
0000f068043805e104071e24086b0871390fd09737affb2679317402441d67a364eaf0a3f69552c485b2e1242b9aea2b8a101f32e13ba20f4fce0c13e04b0d5c,CLEAR,DAYLIGHT,DRY,IMPROPER LANE USAGE,2.0,39.333333333333336,3.0,3.0
000114309f7c89bf0eb6976c67fb13c0d6f9912117fa40f0686510f4ecc0593618446bf1abd2f3ddc88ab221aa962b8e9704d3049d3c988899abd35cc4f44d5e,CLEAR,DAYLIGHT,DRY,IMPROPER LANE USAGE,2.0,22.5,2.0,2.0
0001301de281cb6fc82102d9f9decef9c0a40f5481c903336a6d3a07e2ee7c0d38c20a1f602c57d4b33cb03585fc2c0646125694567529c18d97cdf1e28b5488,RAIN,DAYLIGHT,WET,DISREGARDING TRAFFIC SIGNALS,2.0,43.5,2.0,2.0
000147996f20cbda9acdf79117aeb7652b0c1024ce069916025b09633e46ef73d64bf989658a4aef676a6dbf8b71ada534e0128ccba4279380279d2101dc004f,CLEAR,DAYLIGHT,DRY,IMPROPER TURNING/NO SIGNAL,2.0,58.0,3.0,3.0
000179b336bde73b863dc447f21d58ff88216fc4835c97e889241113f3cf229906b06594e180f3c688474663c316043ef67004599532411bdc6acab62f9f187d,CLEAR,"DARKNESS, LIGHTED ROAD",DRY,IMPROPER LANE USAGE,2.0,32.0,3.0,3.0
0001a4f0626bbb479c55a442135cbd60e12944cf0ff37770d76f84ba773372b329614a8d58532774ba3be8707b09979e64b386d2b901afb0436dda9cc403591a,CLEAR,DAYLIGHT,DRY,DISREGARDING TRAFFIC SIGNALS,2.0,53.0,2.0,2.0
